ingredient_id,ingredient_name,purity,moisture_content,ph_range,specific_gravity_range
8765-56-1,Hyper-Synthesizer 782,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3951-13-6,Vortex Passionfruit Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1945-34-8,Glacial Sunflower Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7674-95-4,Krypto-Stabilizer 660,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1191-31-8,Krypto-Stabilizer 627,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3016-07-9,Cosmic Ginger Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4392-44-3,Solar Locust Bean Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2930-83-7,Krypto-Stabilizer 407,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5947-51-2,Asteroid Cinnamon Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7410-50-9,Cosmic Dragonfruit Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9111-20-5,Krypto-Stabilizer 352,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8788-93-9,Krypto-Stabilizer 532,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7214-37-3,Asteroid Whey Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6405-50-5,Vortex Soy Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7916-73-1,Comet Fish Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7056-05-4,Volcanic Peanut Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9357-14-5,Aura Peanut Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5380-04-1,Aura Fish Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9560-81-1,Martian Oat Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4551-50-6,Comet Almond Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3575-60-8,Pulsar Wheat Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6997-91-2,Aura Whey Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6250-94-9,Stellar Soy Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4137-19-0,Hyper Oat Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5347-32-1,Lunar Sesame Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7917-04-3,Vortex Oat Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1251-52-4,Stellar Peanut Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7155-97-5,Cyber Soy Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0450-39-5,Vortex Soy Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3588-14-1,Volcanic Soy Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1106-85-9,Nebula Wheat Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6044-52-0,Martian Barley Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5242-85-7,Aura Oat Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3330-65-9,Plasma Almond Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4913-76-9,Volcanic Barley Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4543-14-5,Pulsar Sesame Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1376-01-4,Zenith Cashew Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8042-59-2,Martian Peanut Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9285-87-6,Hyper Whey Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2150-18-9,Plasma Pistachio Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3043-00-6,Martian Almond Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3099-17-6,Glacial Soy Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7173-08-2,Quantum Soy Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6477-87-4,Opal Whey Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5396-94-0,Martian Egg Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1206-83-8,Glacial Wheat Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2099-57-7,Pulsar Almond Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8365-09-5,Aura Crustacean Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6060-06-2,Martian Crustacean Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5719-45-6,Hyper Cashew Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3466-69-0,Galactic Soy Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0371-25-7,Martian Soy Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5522-46-5,Plasma Pistachio Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7774-96-3,Comet Almond Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7460-10-6,Nebula Almond Extract,99.2,0.75,6.45 - 7.15,0.920 - 0.940
0755-83-9,Vortex Pistachio Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8673-58-7,Glacial Almond Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4649-12-5,Stellar Cashew Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4478-09-2,Cosmic Peanut Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3849-91-4,Opal Pistachio Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4940-79-1,Cosmic Whey Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9412-78-0,Midnight Base 204,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8412-22-9,Cosmic Oat Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8924-30-0,Plasma Cashew Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
vortex-xanthan-isolate,Vortex Xanthan Isolate,,,,
neuro-matrix-994,Neuro-Matrix 994,,,,
cosmic-dragonfruit-gum,Cosmic Dragonfruit Gum,,,,
asteroid-basil-lecithin,Asteroid Basil Lecithin,,,,
nebula-mango-concentrate,Nebula Mango Concentrate,,,,
plasma-locust-bean-protein,Plasma Locust Bean Protein,,,,
galactic-lavender-oil,Galactic Lavender Oil,,,,
zenith-guava-extract,Zenith Guava Extract,,,,
galactic-lychee-lecithin,Galactic Lychee Lecithin,,,,
lunar-beet-powder,Lunar Beet Powder,,,,
nebula-cinnamon-isolate,Nebula Cinnamon Isolate,,,,
Plasma Locust Bean Protein,Plasma Locust Bean Protein,,,,
Aura Hibiscus Gum,Aura Hibiscus Gum,,,,
Hyper-Synthesizer 679,Hyper-Synthesizer 679,,,,
Lunar Guar Concentrate,Lunar Guar Concentrate,,,,
Plasma Cane Powder,Plasma Cane Powder,,,,
Hyper-Synthesizer 501,Hyper-Synthesizer 501,,,,
Cosmic Ginger Powder,Cosmic Ginger Powder,,,,
PULSAR_CANE_POWDER,Pulsar Cane Powder,0.0,0.0,null,null
ASTEROID_STEVIA_PROTEIN,Asteroid Stevia Protein,0.0,0.0,null,null
SOLAR_CHOCOLATE_POWDER,Solar Chocolate Powder,0.0,0.0,null,null
LUNAR_CHOCOLATE_OIL,Lunar Chocolate Oil,0.0,0.0,null,null
CYBER_FLUX_197,Cyber-Flux 197,0.0,0.0,null,null
LUNAR_LOCUST_BEAN_GUM,Lunar Locust Bean Gum,0.0,0.0,null,null
LUNAR_BEET_POWDER,Lunar Beet Powder,0.0,0.0,null,null
OPAL_MAPLE_GUM,Opal Maple Gum,0.0,0.0,null,null
Cyber Acai Powder,Cyber Acai Powder,,,,
Cyber-Flux 855,Cyber-Flux 855,,,,
Aura Hibiscus Protein,Aura Hibiscus Protein,,,,
Zenith Agave Extract,Zenith Agave Extract,,,,
Zenith Guava Extract,Zenith Guava Extract,,,,
Krypto-Stabilizer 407,Krypto-Stabilizer 407,,,,
Nebula Stevia Protein,Nebula Stevia Protein,,,,
Aura Stevia Lecithin,Aura Stevia Lecithin,,,,
Pulsar Vanilla Powder,Pulsar Vanilla Powder,,,,
Volcanic Xanthan Syrup,Volcanic Xanthan Syrup,,,,
HYP-CHOC-EXT,Hyper Chocolate Extract,100.0,0.0,N/A,N/A
VOR-SOY-EXT,Vortex Soy Extract,100.0,0.0,N/A,N/A
HYP-SYN-914,Hyper-Synthesizer 914,100.0,0.0,N/A,N/A
OPA-MAP-GUM,Opal Maple Gum,100.0,0.0,N/A,N/A
CYB-GUA-POW,Cyber Guava Powder,100.0,0.0,N/A,N/A
COM-ALM-POW,Comet Almond Powder,100.0,0.0,N/A,N/A
HYP-ACA-EXT,Hyper Acacia Extract,100.0,0.0,N/A,N/A
AUR-HIB-GUM,Aura Hibiscus Gum,100.0,0.0,N/A,N/A
PUL-MAP-OIL,Pulsar Maple Oil,100.0,0.0,N/A,N/A
solar-cane-protein,Solar Cane Protein,,,,
glacial-cane-extract,Glacial Cane Extract,,,,
cyber-flux-479,Cyber-Flux 479,,,,
vortex-acacia-concentrate,Vortex Acacia Concentrate,,,,
plasma-locust-bean-protein,Plasma Locust Bean Protein,,,,
nebula-stevia-oil,Nebula Stevia Oil,,,,
martian-basil-concentrate,Martian Basil Concentrate,,,,
martian-ginger-gum,Martian Ginger Gum,,,,
Hyper Chicory Isolate,Hyper Chicory Isolate,,,,
Nebula Passionfruit Syrup,Nebula Passionfruit Syrup,,,,
Lunar Guar Concentrate,Lunar Guar Concentrate,,,,
Krypto-Stabilizer 532,Krypto-Stabilizer 532,,,,
Glacial Cane Oil,Glacial Cane Oil,,,,
Cyber-Flux 829,Cyber-Flux 829,,,,
Cyber-Flux 479,Cyber-Flux 479,,,,
Pulsar Maple Oil,Pulsar Maple Oil,,,,
Vortex Xanthan Isolate,Vortex Xanthan Isolate,,,,
Nebula Sunflower Syrup,Nebula Sunflower Syrup,,,,
Neuro-Matrix 806,Neuro-Matrix 806,,,,
Solar Maple Isolate,Solar Maple Isolate,0.0,0.0,null,null
Asteroid Whey Protein,Asteroid Whey Protein,0.0,0.0,null,null
Solar Monk Fruit Lecithin,Solar Monk Fruit Lecithin,0.0,0.0,null,null
Cosmic Ginger Powder,Cosmic Ginger Powder,0.0,0.0,null,null
Aura Lychee Gum,Aura Lychee Gum,0.0,0.0,null,null
Martian Pomegranate Oil,Martian Pomegranate Oil,0.0,0.0,null,null
Vortex Acacia Concentrate,Vortex Acacia Concentrate,0.0,0.0,null,null
Zenith Agave Extract,Zenith Agave Extract,0.0,0.0,null,null
HYPER_SYNTHESIZER_501,Hyper-Synthesizer 501,,0.0,,
HYPER_WHEY_ISOLATE,Hyper Whey Isolate,,0.0,,
STELLAR_LAVENDER_EXTRACT,Stellar Lavender Extract,,0.0,,
SOLAR_CHOCOLATE_POWDER,Solar Chocolate Powder,,0.0,,
PLASMA_PISTACHIO_POWDER,Plasma Pistachio Powder,,0.0,,
ASTEROID_HIBISCUS_GUM,Asteroid Hibiscus Gum,,0.0,,
AURA_BASIL_PROTEIN,Aura Basil Protein,,0.0,,
MARTIAN_CHOCOLATE_CONCENTRATE,Martian Chocolate Concentrate,,0.0,,
ING-VOLCANIC-XANTHAN-SYRUP,Volcanic Xanthan Syrup,,,,
ING-GLACIAL-SOY-GUM,Glacial Soy Gum,,,,
ING-STELLAR-PEANUT-CONCENTRATE,Stellar Peanut Concentrate,,,,
ING-ZENITH-SUNFLOWER-POWDER,Zenith Sunflower Powder,,,,
ING-GLACIAL-GINGER-LECITHIN,Glacial Ginger Lecithin,,,,
ING-AURA-STEVIA-LECITHIN,Aura Stevia Lecithin,,,,
ING-NEBULA-STEVIA-PROTEIN,Nebula Stevia Protein,,,,
ING-STELLAR-LAVENDER-EXTRACT,Stellar Lavender Extract,,,,
ING-LUNAR-GUAR-CONCENTRATE,Lunar Guar Concentrate,,,,
ING-PULSAR-ALMOND,Pulsar Almond Powder,,,,
ING-OPAL-WHEY,Opal Whey Powder,,,,
ING-VORTEX-SUNFLOWER,Vortex Sunflower Protein,,,,
ING-XENO-866,Xeno-Isolate-X 866,,,,
ING-LUNAR-LEMON,Lunar Lemon Protein,,,,
ING-MARTIAN-STEVIA-GUM,Martian Stevia Gum,,,,
ING-CYBER-479,Cyber-Flux 479,,,,
ING-NEBULA-STEVIA-PROTEIN,Nebula Stevia Protein,,,,
ING-CYBER-855,Cyber-Flux 855,,,,
zenith_agave_extract,Zenith Agave Extract,,,,
lunar_beet_powder,Lunar Beet Powder,,,,
volcanic_guava_isolate,Volcanic Guava Isolate,,,,
hyper_agave_oil,Hyper Agave Oil,,,,
galactic_acacia_lecithin,Galactic Acacia Lecithin,,,,
aura_basil_protein,Aura Basil Protein,,,,
hyper_chocolate_concentrate,Hyper Chocolate Concentrate,,,,
quantum_maple_syrup,Quantum Maple Syrup,,,,
vortex_maple_oil,Vortex Maple Oil,,,,
Xeno-Isolate-X 866,Xeno-Isolate-X 866,,,,
Xeno-Isolate-X 627,Xeno-Isolate-X 627,,,,
Asteroid Cinnamon Syrup,Asteroid Cinnamon Syrup,,,,
Aura Hibiscus Gum,Aura Hibiscus Gum,,,,
Hyper-Synthesizer 782,Hyper-Synthesizer 782,,,,
Cosmic Acacia Gum,Cosmic Acacia Gum,,,,
Plasma Cinnamon Concentrate,Plasma Cinnamon Concentrate,,,,
Krypto-Stabilizer 532,Krypto-Stabilizer 532,,,,
Glacial Caramel Concentrate,Glacial Caramel Concentrate,,,,
Glacial Cane Extract,Glacial Cane Extract,,,,
nebula_mango_concentrate,Nebula Mango Concentrate,,,,
galactic_guar_syrup,Galactic Guar Syrup,,,,
glacial_ginger_lecithin,Glacial Ginger Lecithin,,,,
cyber_basil_lecithin,Cyber Basil Lecithin,,,,
neuro_matrix_806,Neuro-Matrix 806,,,,
hyper_chocolate_extract,Hyper Chocolate Extract,,,,
cyber_flux_855,Cyber-Flux 855,,,,
cyber_lychee_oil,Cyber Lychee Oil,,,,
plasma_acacia_gum,Plasma Acacia Gum,,,,
solar_monk_fruit_lecithin,Solar Monk Fruit Lecithin,,,,
Glacial Ginger Lecithin,Glacial Ginger Lecithin,,,,
Cyber-Flux 197,Cyber-Flux 197,,,,
Cosmic Caramel Lecithin,Cosmic Caramel Lecithin,,,,
Aura Acai Gum,Aura Acai Gum,,,,
Lunar Sunflower Concentrate,Lunar Sunflower Concentrate,,,,
Krypto-Stabilizer 627,Krypto-Stabilizer 627,,,,
Cosmic Dragonfruit Gum,Cosmic Dragonfruit Gum,,,,
Neuro-Matrix 806,Neuro-Matrix 806,,,,
